timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:39:07.441, 68, N/A, 68.08 W, 60 %, 18 %, 996 MiB, 0x0000000000000000
2026/05/02 14:39:07.943, 69, N/A, 70.45 W, 64 %, 20 %, 994 MiB, 0x0000000000000000
2026/05/02 14:39:08.453, 69, N/A, 73.21 W, 67 %, 22 %, 997 MiB, 0x0000000000000000
2026/05/02 14:39:08.963, 70, N/A, 73.03 W, 61 %, 20 %, 997 MiB, 0x0000000000000000
2026/05/02 14:39:09.466, 69, N/A, 74.07 W, 67 %, 21 %, 996 MiB, 0x0000000000000000
2026/05/02 14:39:09.973, 70, N/A, 73.55 W, 68 %, 21 %, 996 MiB, 0x0000000000000000
2026/05/02 14:39:10.475, 69, N/A, 63.57 W, 51 %, 20 %, 1043 MiB, 0x0000000000000000
2026/05/02 14:39:10.988, 71, N/A, 78.90 W, 78 %, 30 %, 1029 MiB, 0x0000000000000004
2026/05/02 14:39:11.500, 71, N/A, 75.06 W, 64 %, 24 %, 1002 MiB, 0x0000000000000000
2026/05/02 14:39:12.013, 72, N/A, 79.90 W, 78 %, 30 %, 1003 MiB, 0x0000000000000004
2026/05/02 14:39:12.527, 71, N/A, 76.28 W, 84 %, 30 %, 1001 MiB, 0x0000000000000004
2026/05/02 14:39:13.041, 72, N/A, 79.93 W, 73 %, 27 %, 993 MiB, 0x0000000000000004
2026/05/02 14:39:13.556, 73, N/A, 87.34 W, 77 %, 28 %, 996 MiB, 0x0000000000000004
2026/05/02 14:39:14.068, 73, N/A, 82.74 W, 85 %, 32 %, 999 MiB, 0x0000000000000004
2026/05/02 14:39:14.582, 74, N/A, 82.64 W, 80 %, 31 %, 998 MiB, 0x0000000000000004
2026/05/02 14:39:15.082, 73, N/A, 82.52 W, 81 %, 31 %, 1001 MiB, 0x0000000000000004
2026/05/02 14:39:15.584, 73, N/A, 82.93 W, 87 %, 33 %, 1000 MiB, 0x0000000000000004
