timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:37:17.439, 72, 81.56 W, 94 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:17.945, 73, 84.07 W, 94 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:18.452, 73, 84.52 W, 96 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:18.955, 72, 82.75 W, 97 %, 2295 MHz, 8001 MHz, 2295 MHz, 0x0000000000000004
2026/05/01 20:37:19.465, 72, 87.10 W, 95 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000000
2026/05/01 20:37:19.975, 73, 88.92 W, 96 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:37:20.488, 74, 90.29 W, 97 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:37:20.989, 74, 90.09 W, 96 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:21.502, 75, 93.73 W, 95 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:37:22.016, 75, 92.76 W, 99 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:37:22.529, 76, 91.96 W, 98 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:37:23.043, 75, 92.14 W, 97 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:37:23.558, 76, 93.91 W, 98 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:37:24.062, 76, 93.33 W, 95 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:37:24.562, 76, 92.89 W, 97 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:37:25.065, 77, 93.22 W, 95 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:25.575, 76, 91.35 W, 96 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:37:26.075, 77, 91.86 W, 92 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:37:26.585, 76, 86.33 W, 82 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:27.095, 76, 85.98 W, 81 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:37:27.597, 75, 77.12 W, 85 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:37:28.098, 75, 77.33 W, 82 %, 2385 MHz, 8001 MHz, 2385 MHz, 0x0000000000000004
2026/05/01 20:37:28.599, 75, 77.68 W, 86 %, 2280 MHz, 8001 MHz, 2280 MHz, 0x0000000000000004
2026/05/01 20:37:29.113, 75, 76.57 W, 85 %, 2340 MHz, 8001 MHz, 2340 MHz, 0x0000000000000004
2026/05/01 20:37:29.616, 75, 76.38 W, 88 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:30.130, 75, 74.55 W, 87 %, 2295 MHz, 7001 MHz, 2295 MHz, 0x0000000000000024
2026/05/01 20:37:30.643, 75, 75.34 W, 91 %, 2235 MHz, 8001 MHz, 2235 MHz, 0x0000000000000004
2026/05/01 20:37:31.145, 75, 74.80 W, 93 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000004
2026/05/01 20:37:31.645, 75, 75.82 W, 92 %, 2280 MHz, 8001 MHz, 2280 MHz, 0x0000000000000004
2026/05/01 20:37:32.148, 73, 62.65 W, 58 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:32.656, 73, 63.26 W, 58 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:33.166, 73, 63.53 W, 56 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:33.666, 73, 62.10 W, 57 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:34.176, 73, 60.78 W, 56 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:34.686, 73, 62.11 W, 56 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:35.191, 73, 62.49 W, 56 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:35.705, 73, 61.54 W, 56 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:36.219, 73, 61.61 W, 57 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:36.735, 74, 62.29 W, 56 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:37.249, 74, 62.11 W, 56 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:37.763, 76, 65.30 W, 83 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:38.264, 78, 80.49 W, 86 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:38.778, 77, 76.39 W, 89 %, 2280 MHz, 8001 MHz, 2280 MHz, 0x0000000000000004
2026/05/01 20:37:39.294, 78, 78.52 W, 84 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:39.808, 77, 77.67 W, 84 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:37:40.316, 78, 78.64 W, 82 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:37:40.816, 78, 78.84 W, 87 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:37:41.326, 78, 80.27 W, 83 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:41.836, 78, 79.64 W, 84 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
