timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 15:12:35.798, 44, N/A, 14.25 W, 10 %, 5 %, 1863 MiB, 0x0000000000000001
2026/05/02 15:12:36.300, 44, N/A, 9.32 W, 9 %, 9 %, 2066 MiB, 0x0000000000000001
2026/05/02 15:12:36.807, 44, N/A, 9.52 W, 5 %, 6 %, 2143 MiB, 0x0000000000000001
2026/05/02 15:12:37.321, 45, N/A, 18.89 W, 0 %, 0 %, 2153 MiB, 0x0000000000000001
2026/05/02 15:12:37.828, 45, N/A, 19.11 W, 1 %, 0 %, 2153 MiB, 0x0000000000000001
2026/05/02 15:12:38.333, 46, N/A, 19.12 W, 0 %, 0 %, 2161 MiB, 0x0000000000000001
2026/05/02 15:12:38.838, 46, N/A, 18.75 W, 2 %, 0 %, 2162 MiB, 0x0000000000000001
2026/05/02 15:12:39.338, 47, N/A, 21.26 W, 10 %, 3 %, 2137 MiB, 0x0000000000000001
2026/05/02 15:12:39.848, 45, N/A, 11.31 W, 60 %, 43 %, 2161 MiB, 0x0000000000000001
2026/05/02 15:12:40.358, 47, N/A, 22.91 W, 35 %, 8 %, 2156 MiB, 0x0000000000000001
2026/05/02 15:12:40.858, 49, N/A, 20.67 W, 22 %, 7 %, 2142 MiB, 0x0000000000000001
2026/05/02 15:12:41.368, 48, N/A, 28.51 W, 46 %, 14 %, 2154 MiB, 0x0000000000000001
2026/05/02 15:12:41.872, 47, N/A, 28.99 W, 35 %, 9 %, 2140 MiB, 0x0000000000000001
2026/05/02 15:12:42.378, 47, N/A, 27.94 W, 12 %, 3 %, 2140 MiB, 0x0000000000000001
2026/05/02 15:12:42.887, 46, N/A, 22.28 W, 0 %, 0 %, 2082 MiB, 0x0000000000000001
2026/05/02 15:12:43.389, 56, N/A, 70.09 W, 94 %, 26 %, 2060 MiB, 0x0000000000000000
2026/05/02 15:12:43.903, 55, N/A, 71.43 W, 97 %, 29 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:44.413, 60, N/A, 80.47 W, 98 %, 28 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:44.919, 61, N/A, 81.82 W, 97 %, 29 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:45.429, 62, N/A, 82.77 W, 97 %, 29 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:45.938, 62, N/A, 82.59 W, 97 %, 29 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:46.449, 62, N/A, 83.57 W, 97 %, 28 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:46.959, 62, N/A, 82.55 W, 97 %, 29 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:47.468, 63, N/A, 82.54 W, 97 %, 29 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:47.969, 64, N/A, 83.10 W, 97 %, 29 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:48.479, 63, N/A, 82.73 W, 97 %, 28 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:48.989, 63, N/A, 82.85 W, 97 %, 28 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:49.499, 64, N/A, 83.21 W, 97 %, 28 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:50.009, 65, N/A, 82.74 W, 97 %, 29 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:50.519, 65, N/A, 81.11 W, 97 %, 28 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:51.029, 64, N/A, 82.90 W, 97 %, 28 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:51.539, 65, N/A, 83.05 W, 97 %, 29 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:52.039, 65, N/A, 83.43 W, 97 %, 28 %, 2062 MiB, 0x0000000000000000
2026/05/02 15:12:52.549, 66, N/A, 83.17 W, 97 %, 28 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:53.059, 66, N/A, 82.96 W, 97 %, 29 %, 2066 MiB, 0x0000000000000000
2026/05/02 15:12:53.569, 67, N/A, 83.85 W, 97 %, 30 %, 2066 MiB, 0x0000000000000000
