timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:28:40.461, 60, N/A, 36.98 W, 92 %, 23 %, 893 MiB, 0x0000000000000001
2026/05/02 14:28:40.973, 64, N/A, 82.11 W, 93 %, 25 %, 909 MiB, 0x0000000000000004
2026/05/02 14:28:41.475, 65, N/A, 82.75 W, 93 %, 26 %, 909 MiB, 0x0000000000000004
2026/05/02 14:28:41.989, 66, N/A, 84.33 W, 92 %, 26 %, 909 MiB, 0x0000000000000004
2026/05/02 14:28:42.501, 66, N/A, 85.03 W, 93 %, 26 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:43.015, 67, N/A, 85.47 W, 93 %, 28 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:43.516, 67, N/A, 85.64 W, 93 %, 28 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:44.018, 68, N/A, 86.26 W, 93 %, 28 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:44.529, 68, N/A, 86.78 W, 93 %, 29 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:45.038, 68, N/A, 86.41 W, 93 %, 28 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:45.548, 68, N/A, 86.62 W, 93 %, 30 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:46.059, 69, N/A, 87.32 W, 93 %, 30 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:46.561, 69, N/A, 86.83 W, 92 %, 30 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:47.075, 69, N/A, 85.78 W, 93 %, 28 %, 909 MiB, 0x0000000000000000
2026/05/02 14:28:47.587, 69, N/A, 85.79 W, 93 %, 28 %, 911 MiB, 0x0000000000000000
2026/05/02 14:28:48.100, 70, N/A, 87.07 W, 93 %, 28 %, 911 MiB, 0x0000000000000000
2026/05/02 14:28:48.610, 70, N/A, 87.19 W, 93 %, 29 %, 911 MiB, 0x0000000000000000
2026/05/02 14:28:49.120, 70, N/A, 87.21 W, 93 %, 29 %, 911 MiB, 0x0000000000000000
2026/05/02 14:28:49.620, 71, N/A, 86.98 W, 93 %, 28 %, 911 MiB, 0x0000000000000000
2026/05/02 14:28:50.134, 71, N/A, 87.51 W, 93 %, 28 %, 911 MiB, 0x0000000000000000
2026/05/02 14:28:50.646, 71, N/A, 87.06 W, 92 %, 28 %, 911 MiB, 0x0000000000000000
2026/05/02 14:28:51.162, 71, N/A, 87.20 W, 94 %, 28 %, 911 MiB, 0x0000000000000000
2026/05/02 14:28:51.669, 71, N/A, 87.54 W, 93 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:52.179, 71, N/A, 86.55 W, 92 %, 23 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:52.689, 72, N/A, 86.49 W, 92 %, 24 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:53.199, 72, N/A, 88.48 W, 93 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:53.699, 73, N/A, 88.47 W, 92 %, 27 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:54.206, 73, N/A, 88.12 W, 92 %, 26 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:54.722, 73, N/A, 88.33 W, 93 %, 28 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:55.237, 73, N/A, 87.97 W, 93 %, 28 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:55.752, 73, N/A, 88.51 W, 93 %, 28 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:56.263, 74, N/A, 88.32 W, 93 %, 28 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:56.776, 74, N/A, 88.39 W, 93 %, 28 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:57.288, 74, N/A, 88.90 W, 93 %, 29 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:57.803, 74, N/A, 88.46 W, 93 %, 30 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:58.304, 74, N/A, 89.03 W, 93 %, 30 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:58.814, 74, N/A, 88.50 W, 93 %, 29 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:59.319, 75, N/A, 88.21 W, 92 %, 28 %, 913 MiB, 0x0000000000000000
2026/05/02 14:28:59.829, 75, N/A, 88.93 W, 92 %, 29 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:00.340, 75, N/A, 88.80 W, 92 %, 29 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:00.850, 75, N/A, 89.43 W, 93 %, 29 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:01.359, 75, N/A, 89.27 W, 93 %, 29 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:01.860, 76, N/A, 89.26 W, 93 %, 29 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:02.375, 76, N/A, 89.23 W, 93 %, 28 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:02.889, 76, N/A, 88.90 W, 93 %, 28 %, 913 MiB, 0x0000000000000000
2026/05/02 14:29:03.404, 76, N/A, 88.99 W, 93 %, 28 %, 913 MiB, 0x0000000000000000
