timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:59:24.367, 72, N/A, 88.28 W, 97 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:24.877, 72, N/A, 88.51 W, 97 %, 39 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:25.377, 72, N/A, 89.64 W, 96 %, 39 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:25.887, 72, N/A, 103.21 W, 97 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:26.387, 72, N/A, 88.68 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:26.897, 72, N/A, 88.45 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:27.407, 72, N/A, 88.12 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:27.907, 73, N/A, 88.12 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:28.417, 73, N/A, 88.03 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:28.917, 73, N/A, 89.79 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:29.421, 73, N/A, 88.31 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:29.927, 73, N/A, 88.01 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:30.438, 74, N/A, 88.12 W, 97 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:30.948, 74, N/A, 88.85 W, 97 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:31.453, 74, N/A, 88.32 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:31.958, 74, N/A, 88.33 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:32.468, 74, N/A, 88.95 W, 97 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:32.977, 74, N/A, 88.06 W, 97 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:33.488, 75, N/A, 88.64 W, 97 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:33.998, 75, N/A, 88.79 W, 97 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:34.498, 75, N/A, 88.95 W, 96 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:35.003, 75, N/A, 88.46 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:35.508, 75, N/A, 88.93 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:36.018, 75, N/A, 89.62 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:36.518, 75, N/A, 89.56 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:37.028, 75, N/A, 89.83 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:37.528, 76, N/A, 89.77 W, 96 %, 38 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:38.038, 75, N/A, 89.20 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:38.548, 76, N/A, 88.96 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:39.058, 76, N/A, 89.41 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:39.568, 76, N/A, 90.46 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:40.078, 77, N/A, 89.35 W, 97 %, 36 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:40.588, 76, N/A, 89.71 W, 96 %, 36 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:41.098, 77, N/A, 89.73 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:41.608, 77, N/A, 89.76 W, 96 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:42.108, 77, N/A, 91.79 W, 96 %, 36 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:42.618, 77, N/A, 90.06 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:43.118, 77, N/A, 89.96 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:43.628, 77, N/A, 89.85 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:44.138, 77, N/A, 89.79 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:44.638, 77, N/A, 89.67 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:45.148, 77, N/A, 90.58 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:45.649, 77, N/A, 89.64 W, 97 %, 36 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:46.157, 78, N/A, 89.66 W, 97 %, 36 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:46.659, 78, N/A, 89.35 W, 97 %, 35 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:47.169, 78, N/A, 89.52 W, 96 %, 35 %, 1953 MiB, 0x0000000000000000
