timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
24:02.6, NVIDIA GeForce RTX 4060 Laptop GPU,90%,20%, 796 MiB, 8188 MiB,91.58,86, 2475 MHz, 8001 MHz,,,,,,
24:03.6, NVIDIA GeForce RTX 4060 Laptop GPU,90%,20%, 796 MiB, 8188 MiB,91.4,86, 2475 MHz, 8001 MHz,,,,,,
24:04.6, NVIDIA GeForce RTX 4060 Laptop GPU,90%,21%, 796 MiB, 8188 MiB,92.17,86, 2475 MHz, 8001 MHz,,,,,,
24:05.6, NVIDIA GeForce RTX 4060 Laptop GPU,91%,20%, 796 MiB, 8188 MiB,91.98,86, 2475 MHz, 8001 MHz,,,,,,
24:06.6, NVIDIA GeForce RTX 4060 Laptop GPU,90%,19%, 792 MiB, 8188 MiB,89.04,86, 2475 MHz, 8001 MHz,,,,,,
24:07.6, NVIDIA GeForce RTX 4060 Laptop GPU,88%,20%, 792 MiB, 8188 MiB,91,86, 2475 MHz, 8001 MHz,,,,,,
24:08.6, NVIDIA GeForce RTX 4060 Laptop GPU,89%,21%, 792 MiB, 8188 MiB,90.71,86, 2475 MHz, 8001 MHz,,,,,,
24:09.6, NVIDIA GeForce RTX 4060 Laptop GPU,88%,24%, 792 MiB, 8188 MiB,88.54,85, 2475 MHz, 8001 MHz,,,,,,
24:10.6, NVIDIA GeForce RTX 4060 Laptop GPU,86%,19%, 792 MiB, 8188 MiB,86.08,85, 2475 MHz, 8001 MHz,,,,,,
24:11.6, NVIDIA GeForce RTX 4060 Laptop GPU,87%,19%, 796 MiB, 8188 MiB,84.37,85, 2475 MHz, 8001 MHz,,,,,,
24:12.6, NVIDIA GeForce RTX 4060 Laptop GPU,91%,24%, 796 MiB, 8188 MiB,91.16,86, 2445 MHz, 8001 MHz,,,,,,
