timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
16:48.1, NVIDIA GeForce RTX 4060 Laptop GPU,73%,32%, 768 MiB, 8188 MiB,78.52,76, 2400 MHz, 8001 MHz,,,,,,
16:49.1, NVIDIA GeForce RTX 4060 Laptop GPU,75%,32%, 768 MiB, 8188 MiB,78.48,76, 2400 MHz, 8001 MHz,,,,,,
16:50.1, NVIDIA GeForce RTX 4060 Laptop GPU,74%,31%, 768 MiB, 8188 MiB,78.35,77, 2400 MHz, 8001 MHz,,,,,,
16:51.1, NVIDIA GeForce RTX 4060 Laptop GPU,72%,31%, 768 MiB, 8188 MiB,78.56,77, 2475 MHz, 8001 MHz,,,,,,
16:52.1, NVIDIA GeForce RTX 4060 Laptop GPU,75%,32%, 768 MiB, 8188 MiB,78.96,77, 2385 MHz, 8001 MHz,,,,,,
16:53.1, NVIDIA GeForce RTX 4060 Laptop GPU,73%,32%, 768 MiB, 8188 MiB,78.85,77, 2415 MHz, 8001 MHz,,,,,,
16:54.1, NVIDIA GeForce RTX 4060 Laptop GPU,71%,31%, 768 MiB, 8188 MiB,78.79,78, 2430 MHz, 8001 MHz,,,,,,
16:55.1, NVIDIA GeForce RTX 4060 Laptop GPU,69%,30%, 768 MiB, 8188 MiB,79.11,78, 2475 MHz, 8001 MHz,,,,,,
16:56.1, NVIDIA GeForce RTX 4060 Laptop GPU,70%,31%, 768 MiB, 8188 MiB,79.74,78, 2460 MHz, 8001 MHz,,,,,,
16:57.1, NVIDIA GeForce RTX 4060 Laptop GPU,70%,31%, 768 MiB, 8188 MiB,78.16,78, 2445 MHz, 8001 MHz,,,,,,
16:58.1, NVIDIA GeForce RTX 4060 Laptop GPU,69%,31%, 768 MiB, 8188 MiB,78.9,78, 2475 MHz, 8001 MHz,,,,,,
16:59.1, NVIDIA GeForce RTX 4060 Laptop GPU,69%,30%, 768 MiB, 8188 MiB,77.68,78, 2475 MHz, 8001 MHz,,,,,,
17:00.1, NVIDIA GeForce RTX 4060 Laptop GPU,60%,27%, 768 MiB, 8188 MiB,72.7,77, 2475 MHz, 8001 MHz,,,,,,
17:01.1, NVIDIA GeForce RTX 4060 Laptop GPU,66%,30%, 768 MiB, 8188 MiB,76.93,78, 2475 MHz, 8001 MHz,,,,,,
17:02.1, NVIDIA GeForce RTX 4060 Laptop GPU,9%,3%, 786 MiB, 8188 MiB,75.9,74, 2475 MHz, 8001 MHz,,,,,,
