timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 21:47:45.239, 61, 82.18 W, 97 %, 2505 MHz, 8001 MHz, 2505 MHz, 0x0000000000000000
2026/05/01 21:47:45.739, 62, 82.69 W, 97 %, 2505 MHz, 8001 MHz, 2505 MHz, 0x0000000000000000
2026/05/01 21:47:46.249, 62, 82.77 W, 97 %, 2505 MHz, 8001 MHz, 2505 MHz, 0x0000000000000000
2026/05/01 21:47:46.749, 62, 82.20 W, 98 %, 2505 MHz, 8001 MHz, 2505 MHz, 0x0000000000000004
2026/05/01 21:47:47.259, 62, 82.99 W, 97 %, 2505 MHz, 8001 MHz, 2505 MHz, 0x0000000000000004
2026/05/01 21:47:47.769, 63, 83.43 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:48.269, 63, 83.07 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:48.779, 63, 82.95 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:49.289, 63, 83.07 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:49.799, 64, 82.91 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:50.301, 64, 83.38 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:50.809, 65, 83.51 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:51.310, 64, 83.47 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:51.819, 65, 83.66 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:52.320, 66, 83.76 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:52.829, 65, 83.72 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:53.340, 66, 83.68 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:53.849, 66, 83.76 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:54.359, 66, 84.38 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:54.860, 66, 84.46 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:55.370, 67, 84.26 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:55.880, 67, 84.48 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:56.389, 67, 84.63 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:56.899, 67, 84.47 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:57.400, 68, 84.60 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:57.910, 68, 84.40 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:58.420, 68, 84.93 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:58.920, 68, 84.82 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:59.430, 69, 84.65 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:47:59.940, 68, 84.42 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:00.440, 69, 85.10 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:00.950, 69, 86.82 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:01.460, 70, 87.26 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:01.960, 69, 88.00 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:02.470, 70, 87.88 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:02.980, 70, 87.58 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:03.490, 70, 87.27 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:03.990, 70, 86.19 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:04.500, 71, 87.14 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:05.010, 70, 86.72 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:05.511, 71, 87.50 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:06.020, 71, 87.86 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:06.521, 71, 86.39 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:07.031, 71, 86.12 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:07.540, 71, 86.17 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:08.051, 72, 86.48 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:08.560, 72, 86.97 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:09.061, 72, 75.41 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:09.571, 72, 86.35 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:10.081, 72, 86.12 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:10.591, 72, 87.00 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:11.101, 72, 87.07 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:11.611, 73, 86.86 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:12.121, 72, 86.59 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:12.631, 73, 87.72 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:13.141, 73, 87.68 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:13.651, 73, 87.75 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:14.151, 73, 87.49 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 21:48:14.661, 74, 87.56 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:15.171, 73, 84.48 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:15.681, 74, 86.55 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:16.191, 74, 86.41 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:16.701, 74, 87.17 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:17.211, 74, 86.66 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:17.721, 74, 86.46 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:18.231, 75, 85.88 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:18.741, 74, 86.11 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:19.241, 74, 86.52 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:19.751, 74, 86.61 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:20.251, 75, 86.58 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:20.756, 75, 86.53 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:21.261, 75, 86.44 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:21.762, 75, 86.42 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:22.272, 76, 86.43 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:22.782, 75, 86.58 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:23.291, 75, 87.14 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:23.797, 76, 86.38 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:24.302, 76, 85.62 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:24.802, 76, 86.81 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:25.312, 77, 86.22 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:25.822, 76, 87.17 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:26.332, 77, 86.84 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:26.842, 77, 87.14 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:27.352, 77, 87.65 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:27.862, 77, 88.43 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:28.362, 77, 88.55 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:28.867, 77, 88.36 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:29.372, 77, 88.74 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:29.877, 77, 88.69 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:30.381, 77, 88.62 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:30.887, 77, 88.45 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:31.392, 77, 89.03 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:31.902, 77, 86.78 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:32.412, 78, 87.75 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:32.919, 78, 88.30 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:33.422, 78, 88.33 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:48:33.930, 78, 88.64 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:34.432, 78, 87.72 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:34.938, 78, 87.56 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 21:48:35.443, 78, 87.30 W, 97 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
