timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu,y, clocks.current.memory [MHz],,
18:19.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,73.49,71,2490, 8001 MHz,,
18:20.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,72.64,71,2490, 8001 MHz,,
18:21.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,73.83,71,2490, 8001 MHz,,
18:22.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,74.05,72,2490, 8001 MHz,,
18:23.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,74.74,72,2490, 8001 MHz,,
18:24.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,74.12,72,2490, 8001 MHz,,
18:25.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,74.33,72,2490, 8001 MHz,,
18:26.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,73.69,72,2490, 8001 MHz,,
18:27.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,72.48,72,2490, 8001 MHz,,
18:28.6, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,72.25,72,2490, 8001 MHz,,
18:29.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,71.66,72,2490, 8001 MHz,,
18:30.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,72.59,72,2490, 8001 MHz,,
18:31.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,72.7,73,2490, 8001 MHz,,
18:32.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,72.73,73,2490, 8001 MHz,,
18:33.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,72.64,73,2490, 8001 MHz,,
18:34.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,67.31,73,2490, 8001 MHz,,
18:35.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,73.9,73,2490, 8001 MHz,,
18:36.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,74.56,73,2490, 8001 MHz,,
18:37.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,74.17,73,2490, 8001 MHz,,
18:38.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,2%, 1697 MiB, 8188 MiB,73.45,74,2490, 8001 MHz,,
18:39.7, NVIDIA GeForce RTX 4060 Laptop GPU,100%,1%, 1697 MiB, 8188 MiB,74.69,74,2490, 8001 MHz,,
