timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:45:55.058, 51, 6.00 W, 34 %, 330 MHz, 405 MHz, 330 MHz, 0x0000000000000001
2026/05/01 20:45:55.573, 51, 5.39 W, 14 %, 285 MHz, 405 MHz, 285 MHz, 0x0000000000000001
2026/05/01 20:45:56.088, 51, 7.24 W, 6 %, 240 MHz, 405 MHz, 240 MHz, 0x0000000000000001
2026/05/01 20:45:56.604, 51, 6.16 W, 52 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:45:57.104, 51, 5.27 W, 2 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:45:57.618, 51, 5.32 W, 2 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:58.118, 54, 28.88 W, 19 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:58.634, 64, 71.25 W, 97 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:45:59.135, 66, 82.96 W, 95 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:45:59.643, 66, 80.40 W, 95 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:46:00.151, 67, 80.60 W, 95 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:46:00.656, 67, 79.67 W, 95 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:46:01.161, 68, 83.23 W, 95 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:46:01.671, 69, 86.07 W, 94 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:46:02.171, 70, 89.01 W, 95 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:46:02.675, 70, 89.72 W, 96 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:46:03.191, 71, 90.38 W, 95 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:03.692, 71, 89.61 W, 94 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:04.204, 71, 89.09 W, 94 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:04.719, 72, 90.61 W, 94 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:05.220, 72, 90.50 W, 96 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:05.721, 72, 91.04 W, 95 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:06.236, 73, 91.50 W, 96 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:06.751, 72, 90.01 W, 96 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:07.251, 69, 90.53 W, 95 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:07.761, 68, 71.24 W, 89 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:08.271, 72, 82.42 W, 91 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:08.781, 73, 85.66 W, 94 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:09.281, 73, 85.54 W, 93 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:46:09.792, 73, 86.41 W, 94 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:46:10.300, 73, 88.01 W, 94 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:10.813, 72, 88.14 W, 93 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:11.327, 71, 68.92 W, 63 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:11.827, 71, 71.46 W, 68 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:12.340, 71, 70.10 W, 71 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:12.842, 71, 72.44 W, 70 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:46:13.356, 71, 71.78 W, 68 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
