timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:26:54.751, 82, 83.30 W, 81 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:26:55.265, 81, 82.84 W, 82 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:26:55.767, 80, 83.44 W, 90 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:26:56.269, 81, 81.60 W, 89 %, 2295 MHz, 8001 MHz, 2295 MHz, 0x0000000000000004
2026/05/01 20:26:56.778, 82, 81.86 W, 80 %, 2280 MHz, 8001 MHz, 2280 MHz, 0x0000000000000004
2026/05/01 20:26:57.288, 74, 29.77 W, 10 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:26:57.788, 81, 74.21 W, 64 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:26:58.298, 81, 83.11 W, 98 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:26:58.798, 80, 80.69 W, 92 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:26:59.308, 81, 71.65 W, 97 %, 2220 MHz, 8001 MHz, 2220 MHz, 0x0000000000000004
2026/05/01 20:26:59.820, 82, 82.70 W, 94 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:27:00.322, 81, 82.45 W, 95 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000004
2026/05/01 20:27:00.824, 81, 81.85 W, 91 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:27:01.335, 81, 84.88 W, 87 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:27:01.838, 82, 81.81 W, 77 %, 2340 MHz, 8001 MHz, 2340 MHz, 0x0000000000000004
2026/05/01 20:27:02.342, 81, 82.35 W, 82 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:27:02.857, 82, 84.26 W, 80 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:27:03.360, 82, 82.51 W, 80 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:27:03.864, 82, 84.68 W, 79 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:27:04.365, 82, 82.72 W, 76 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:27:04.868, 82, 83.92 W, 77 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:27:05.378, 82, 82.85 W, 75 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:27:05.887, 82, 82.41 W, 76 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:27:06.389, 77, 73.64 W, 40 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:27:06.898, 80, 71.07 W, 58 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
